sticker_number,amount
2,1
3,1
4,1
5,1
6,2
7,1
8,1
9,1
11,1
12,1
14,1
15,2
16,1
17,1
18,1
19,1
21,1
22,1
23,1
24,1
25,2
27,1
28,1
29,1
30,1
33,1
34,1
35,1
37,2
40,1
41,1
42,2
43,2
44,1
46,1
47,1
48,1
49,1
50,2
51,1
53,1
54,1
56,1
57,1
58,1
59,1
61,1
62,1
64,1
65,1
66,1
67,1
68,1
69,1
70,1
71,2
72,1
73,1
74,1
75,1
76,1
77,1
78,1
79,1
80,1
81,1
82,2
83,1
84,1
85,1
86,1
87,2
88,1
89,1
90,1
95,1
96,1
99,1
100,1
101,1
102,1
103,1
106,1
108,1
111,1
112,2
113,1
114,1
116,1
117,1
119,1
120,1
122,1
123,1
124,1
126,1
129,1
131,1
132,2
134,1
135,1
136,1
137,1
138,1
139,2
140,1
141,3
142,1
143,1
144,1
145,1
146,1
147,1
149,1
150,1
151,1
152,1
154,1
156,1
157,1
158,1
159,1
160,1
161,1
162,2
163,1
164,1
166,2
167,1
168,1
169,1
170,2
171,1
172,1
173,1
175,1
176,1
177,1
178,1
179,1
180,2
181,1
184,1
185,2
186,1
187,2
189,1
190,1
191,1
192,1
193,1
195,1
196,1
197,1
198,1
199,1
200,1
201,2
204,1
206,1
208,1
209,1
210,1
211,1
213,1
214,1
215,1
217,1
220,1
222,1
225,1
226,2
229,1
231,1
232,1
235,1
236,3
238,1
240,1
241,2
242,1
244,1
245,1
251,1
254,1
255,1
256,1
260,1
261,2
262,1
263,1
264,1
266,1
270,1
274,1
275,1
276,2
279,1
281,1
283,1
289,1
293,1
295,1
296,1
297,1
298,1
299,1
301,1
302,1
305,1
306,1
307,1
309,1
310,1
314,1
316,1
320,3
321,1
323,1
324,1
326,1
327,1
332,1
333,1
334,1
335,1
336,1
337,1
342,1
343,1
346,1
348,1
351,1
352,1
355,1
357,1
359,1
360,1
361,1
363,1
368,1
369,1
372,1
373,1
374,1
375,1
377,1
378,1
379,1
380,2
381,1
383,1
384,1
386,1
388,1
390,1
391,2
392,1
393,1
394,1
396,1
397,1
398,1
399,1
401,1
402,1
404,1
407,1
409,1
410,1
413,1
414,1
415,1
419,1
420,1
421,1
422,1
423,1
424,1
425,1
426,1
427,1
428,1
429,1
430,1
431,2
432,1
433,1
434,1
436,1
437,1
438,1
439,1
440,1
441,1
442,1
444,1
447,1
452,1
453,1
456,1
457,1
459,1
460,1
464,1
466,1
467,1
469,1
470,1
475,1
476,1
477,1
478,1
479,1
481,1
485,1
487,1
488,1
489,2
492,1
494,1
495,2
497,1
499,1
500,1
501,1
502,1
503,1
505,1
508,1
510,1
512,2
514,1
515,1
516,2
517,1
518,1
521,1
525,1
526,1
528,2
529,1
530,3
532,1
536,1
537,1
538,1
542,1
543,2
544,1
550,1
551,1
552,1
554,1
555,1
557,1
558,1
559,1
561,1
562,1
564,1
566,1
567,1
569,1
570,1
571,1
573,1
574,3
575,1
576,1
578,1
579,1
580,1
582,1
585,1
586,1
589,1
590,1
591,1
592,1
593,1
595,1
596,1
598,1
600,1
601,1
602,1
604,1
605,1
607,1
608,1
609,1
610,1
611,1
612,1
614,1
616,1
618,1
619,1
623,2
625,1
626,1
629,1
630,1
632,1
633,1
634,1
635,1
637,1
639,1
640,1
641,1
642,1
644,1
645,1
648,1
649,1
650,1
651,1
653,1
656,1
659,2
661,1
665,1
667,1
670,1
671,1
672,1
673,1
674,1
676,1
679,1
681,1
682,1
684,1
685,1
686,1
687,1
688,1
689,1
690,1
691,1
692,1
693,2
694,1
695,1
697,1
699,1
702,2
703,1
704,1
705,1
706,1
709,1
710,1
713,1
714,1
716,1
717,1
718,1
720,1
